Job Title,Job Link
"Panel Beater
Bakers Inn
Panel Beater Applications are invited for the PANEL BEATER vacancy that has arisen within Baker's Inn Sales & Distribution - Northern Region, Harare.




 Harare
 Expires 16 Apr 2025
 Full Time
 TBA
Posted 20 minutes",https://vacancymail.co.zw/jobs/panel-beater-63309/
"Senior Finance andAdministration Officer
SAFIRE -Southern Alliance For Indigenous Resources
Duty Station: Harare Reporting to: Director Deadline: Friday 18 April 2025 SAFIRE Purpose: To facilitate Rural communities with resilient livelihoods in a sustainably managed natural environment. Position Summary: The Senior Finance and Administration Officer is responsible for establishing and managing efficient and effective finance and administrative systems for the organisation. …




 Harare
 Expires 18 Apr 2025
 Full Time
 TBA
Posted 24 minutes",https://vacancymail.co.zw/jobs/senior-finance-andadministration-officer-63308/
"TOURISIM & HOSPITALITY TUTOR-BULAWAYO CAMPUS
Claremont Business School
Applications are invited from suitably qualified and experienced Tutors to teach CTH(Confederation of Tourism & Hospitality) modules at our Bulawayo Campus. This will be strictly on a part time basis.




 Bulawayo
 Expires 14 May 2025
 Part Time
Posted 51 minutes",https://vacancymail.co.zw/jobs/tourisim-hospitality-tutor-bulawayo-campus-63307/
"FRENCH LECTURER-BULAWAYO CAMPUS
Claremont Business School
Applications are invited from suitably qualified and experienced French Tutors to teach CTH(Confederation of Tourism & Hospitality) students at our Bulawayo Campus. This will be strictly on a part time basis.




 Bulawayo
 Expires 14 May 2025
 Part Time
Posted 51 minutes",https://vacancymail.co.zw/jobs/french-lecturer-bulawayo-campus-63306/
"Loans Officer
Experienced personnel to fill in the role of loans officer.




 Harare
 Expires 14 May 2025
 Full Time
Posted 56 minutes",https://vacancymail.co.zw/jobs/loans-officer-63305/
"Area Sales Manager/ Business Development Manager
Five Star Industries
Responsible for being a key point of contact for all Sales Operations related aspects (e.g. Field Sales, Customers etc) within assigned geographical ""Area/Territory"" and deliver set objectives/targets.




 Harare
 Expires 17 Apr 2025
 Full Time
Posted 1 hour, 12 minutes",https://vacancymail.co.zw/jobs/area-sales-manager-business-development-manager-63304/
"Aluminium Fabrication and Computer Aided Design Instructior.
Ixar Mobile ~~ 0
Training students in computer aided design and aluminum fabrication in order to be able to create products like windows, doors, doorframes, office partitions e.t.c




 Harare
 Expires 19 Apr 2025
 Part Time
Posted 1 hour, 49 minutes",https://vacancymail.co.zw/jobs/aluminium-fabrication-and-computer-aided-design-instructior-63303/
"Electronic Engineer/Technician
Ixar Mobile ~~ 0
Training students in electronics repairs covering gadgets like cellphones, computers, inverters e.tc




 Harare
 Expires 19 Apr 2025
 Full Time
 250
Posted 2 hours, 1 minute",https://vacancymail.co.zw/jobs/electronic-engineertechnician-63302/
"ASSISTANT LOANS OFFICER
Energetic young people to be trained as loans officer




 Harare
 Expires 14 May 2025
 Full Time
Posted 2 hours, 26 minutes",https://vacancymail.co.zw/jobs/assistant-loans-officer-63301/
"Heavy Machinery Truck Sales Executive
ST-ONE Machinery
We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …




 Harare
 Expires 30 Apr 2025
 Full Time
Posted 3 hours, 40 minutes",https://vacancymail.co.zw/jobs/heavy-machinery-truck-sales-executive-63300/
